sep=,
"Time","B_1 - I45","B_2 - I45","B_3 - I45","B_4 - I45","B_5 - I45","B_6 - I45","B_7 - I45","B_8 - I45","B_1 - I49","B_2 - I49","B_3 - I49","B_4 - I49","B_5 - I49","B_6 - I49","B_7 - I49","B_8 - I49","B_1 - I50","B_2 - I50","B_3 - I50","B_4 - I50","B_5 - I50","B_6 - I50","B_7 - I50","B_8 - I50","B_1 - I51","B_2 - I51","B_3 - I51","B_4 - I51","B_5 - I51","B_6 - I51","B_7 - I51","B_8 - I51","B_1 - I52","B_2 - I52","B_3 - I52","B_4 - I52","B_5 - I52","B_6 - I52","B_7 - I52","B_8 - I52","B_1 - I53","B_2 - I53","B_3 - I53","B_4 - I53","B_5 - I53","B_6 - I53","B_7 - I53","B_8 - I53","B_1 - I54","B_2 - I54","B_3 - I54","B_4 - I54","B_5 - I54","B_6 - I54","B_7 - I54","B_8 - I54","B_1 - I55","B_2 - I55","B_3 - I55","B_4 - I55","B_5 - I55","B_6 - I55","B_7 - I55","B_8 - I55","B_1 - I56","B_2 - I56","B_3 - I56","B_4 - I56","B_5 - I56","B_6 - I56","B_7 - I56","B_8 - I56","B_1 - I57","B_2 - I57","B_3 - I57","B_4 - I57","B_5 - I57","B_6 - I57","B_7 - I57","B_8 - I57","B_1 - I58","B_2 - I58","B_3 - I58","B_4 - I58","B_5 - I58","B_6 - I58","B_7 - I58","B_8 - I58"," I45"," I49"," I50"," I51"," I52"," I53"," I54"," I55"," I56"," I57"," I58"
2026-06-12 13:00:00,0.108 Mpa,0.112 Mpa,0.104 Mpa,0.104 Mpa,0.104 Mpa,0.104 Mpa,0.108 Mpa,0.108 Mpa,0.118 Mpa,0.118 Mpa,0.123 Mpa,0.116 Mpa,0.120 Mpa,0.126 Mpa,0.125 Mpa,0.132 Mpa,0.135 Mpa,0.136 Mpa,0.134 Mpa,0.133 Mpa,0.135 Mpa,0.137 Mpa,0.136 Mpa,0.143 Mpa,0.135 Mpa,0.135 Mpa,0.140 Mpa,0.136 Mpa,0.133 Mpa,0.142 Mpa,0.142 Mpa,0.144 Mpa,0.135 Mpa,0.137 Mpa,0.137 Mpa,0.136 Mpa,0.134 Mpa,0.136 Mpa,0.137 Mpa,0.144 Mpa,0.115 Mpa,1.02 Mpa,0.114 Mpa,0.112 Mpa,0.111 Mpa,0.114 Mpa,0.113 Mpa,0.117 Mpa,0.121 Mpa,0.123 Mpa,0.119 Mpa,0.121 Mpa,0.123 Mpa,0.125 Mpa,0.124 Mpa,0.130 Mpa,0.124 Mpa,0.123 Mpa,0.124 Mpa,0.123 Mpa,0.122 Mpa,0.127 Mpa,0.128 Mpa,0.134 Mpa,0.129 Mpa,0.127 Mpa,0.125 Mpa,0.126 Mpa,0.128 Mpa,0.132 Mpa,0.131 Mpa,0.135 Mpa,0.113 Mpa,0.112 Mpa,0.108 Mpa,0.108 Mpa,0.112 Mpa,0.104 Mpa,0.112 Mpa,0.113 Mpa,,,,,,,,,0 RPM,1860 RPM,1861 RPM,1857 RPM,1847 RPM,1278 RPM,1863 RPM,1782 RPM,1684 RPM,884 RPM,
2026-06-12 15:00:00,0.118 Mpa,0.120 Mpa,0.119 Mpa,0.118 Mpa,0.121 Mpa,0.122 Mpa,0.124 Mpa,0.127 Mpa,0.113 Mpa,0.112 Mpa,0.115 Mpa,0.108 Mpa,0.112 Mpa,0.118 Mpa,0.118 Mpa,0.124 Mpa,0.126 Mpa,0.128 Mpa,0.126 Mpa,0.125 Mpa,0.129 Mpa,0.130 Mpa,0.130 Mpa,0.138 Mpa,0.125 Mpa,0.124 Mpa,0.129 Mpa,0.123 Mpa,0.125 Mpa,0.131 Mpa,0.133 Mpa,0.133 Mpa,0.112 Mpa,0.113 Mpa,0.109 Mpa,0.108 Mpa,0.111 Mpa,0.110 Mpa,0.114 Mpa,0.116 Mpa,0.125 Mpa,1.02 Mpa,0.128 Mpa,0.125 Mpa,0.125 Mpa,0.130 Mpa,0.126 Mpa,0.133 Mpa,0.125 Mpa,0.126 Mpa,0.123 Mpa,0.126 Mpa,0.127 Mpa,0.129 Mpa,0.129 Mpa,0.134 Mpa,0.125 Mpa,0.123 Mpa,0.126 Mpa,0.124 Mpa,0.123 Mpa,0.128 Mpa,0.128 Mpa,0.135 Mpa,0.127 Mpa,0.126 Mpa,0.123 Mpa,0.124 Mpa,0.126 Mpa,0.129 Mpa,0.129 Mpa,0.133 Mpa,0.118 Mpa,0.117 Mpa,0.116 Mpa,0.112 Mpa,0.119 Mpa,0.115 Mpa,0.121 Mpa,0.126 Mpa,,,,,,,,,1166 RPM,1760 RPM,1842 RPM,1767 RPM,1298 RPM,1820 RPM,1798 RPM,1782 RPM,1484 RPM,1639 RPM,
2026-06-12 17:00:00,0.119 Mpa,0.120 Mpa,0.120 Mpa,0.119 Mpa,0.122 Mpa,0.122 Mpa,0.124 Mpa,0.128 Mpa,0.116 Mpa,0.116 Mpa,0.118 Mpa,0.112 Mpa,0.116 Mpa,0.121 Mpa,0.121 Mpa,0.127 Mpa,0.118 Mpa,0.119 Mpa,0.115 Mpa,0.115 Mpa,0.118 Mpa,0.118 Mpa,0.120 Mpa,0.126 Mpa,0.123 Mpa,0.121 Mpa,0.125 Mpa,0.120 Mpa,0.123 Mpa,0.128 Mpa,0.129 Mpa,0.130 Mpa,0.103 Mpa,0.104 Mpa,0.103 Mpa,0.0997 Mpa,0.104 Mpa,0.102 Mpa,0.105 Mpa,0.109 Mpa,0.121 Mpa,1.02 Mpa,0.123 Mpa,0.120 Mpa,0.120 Mpa,0.124 Mpa,0.122 Mpa,0.128 Mpa,0.114 Mpa,0.115 Mpa,0.108 Mpa,0.112 Mpa,0.111 Mpa,0.112 Mpa,0.115 Mpa,0.116 Mpa,0.126 Mpa,0.125 Mpa,0.128 Mpa,0.127 Mpa,0.124 Mpa,0.129 Mpa,0.129 Mpa,0.136 Mpa,0.128 Mpa,0.127 Mpa,0.125 Mpa,0.126 Mpa,0.128 Mpa,0.131 Mpa,0.131 Mpa,0.135 Mpa,0.124 Mpa,0.124 Mpa,0.123 Mpa,0.120 Mpa,0.126 Mpa,0.122 Mpa,0.128 Mpa,0.135 Mpa,,,,,,,,,1736 RPM,1724 RPM,1413 RPM,1727 RPM,1255 RPM,1722 RPM,858 RPM,1757 RPM,1547 RPM,1777 RPM,
2026-06-12 19:00:00,0.120 Mpa,0.119 Mpa,0.119 Mpa,0.117 Mpa,0.120 Mpa,0.121 Mpa,0.123 Mpa,0.126 Mpa,0.120 Mpa,0.120 Mpa,0.122 Mpa,0.116 Mpa,0.120 Mpa,0.126 Mpa,0.125 Mpa,0.132 Mpa,0.126 Mpa,0.126 Mpa,0.124 Mpa,0.123 Mpa,0.125 Mpa,0.127 Mpa,0.127 Mpa,0.135 Mpa,0.121 Mpa,0.120 Mpa,0.124 Mpa,0.119 Mpa,0.122 Mpa,0.127 Mpa,0.128 Mpa,0.129 Mpa,0.114 Mpa,0.115 Mpa,0.113 Mpa,0.111 Mpa,0.114 Mpa,0.113 Mpa,0.117 Mpa,0.120 Mpa,0.127 Mpa,1.02 Mpa,0.131 Mpa,0.127 Mpa,0.127 Mpa,0.132 Mpa,0.128 Mpa,0.135 Mpa,0.125 Mpa,0.126 Mpa,0.124 Mpa,0.126 Mpa,0.127 Mpa,0.129 Mpa,0.130 Mpa,0.135 Mpa,0.124 Mpa,0.123 Mpa,0.124 Mpa,0.123 Mpa,0.122 Mpa,0.127 Mpa,0.127 Mpa,0.134 Mpa,0.128 Mpa,0.127 Mpa,0.126 Mpa,0.127 Mpa,0.129 Mpa,0.132 Mpa,0.132 Mpa,0.136 Mpa,0.127 Mpa,0.127 Mpa,0.126 Mpa,0.123 Mpa,0.129 Mpa,0.125 Mpa,0.131 Mpa,0.138 Mpa,,,,,,,,,1526 RPM,1826 RPM,1741 RPM,1742 RPM,1396 RPM,1843 RPM,1768 RPM,1786 RPM,1762 RPM,1773 RPM,
2026-06-12 21:00:00,0.115 Mpa,0.117 Mpa,0.115 Mpa,0.115 Mpa,0.116 Mpa,0.116 Mpa,0.119 Mpa,0.121 Mpa,0.120 Mpa,0.120 Mpa,0.123 Mpa,0.116 Mpa,0.121 Mpa,0.126 Mpa,0.126 Mpa,0.133 Mpa,0.119 Mpa,0.120 Mpa,0.117 Mpa,0.116 Mpa,0.120 Mpa,0.120 Mpa,0.122 Mpa,0.128 Mpa,0.118 Mpa,0.116 Mpa,0.120 Mpa,0.115 Mpa,0.117 Mpa,0.122 Mpa,0.124 Mpa,0.124 Mpa,0.131 Mpa,0.133 Mpa,0.134 Mpa,0.132 Mpa,0.131 Mpa,0.134 Mpa,0.135 Mpa,0.141 Mpa,0.127 Mpa,1.02 Mpa,0.131 Mpa,0.127 Mpa,0.127 Mpa,0.133 Mpa,0.128 Mpa,0.136 Mpa,0.126 Mpa,0.127 Mpa,0.125 Mpa,0.128 Mpa,0.129 Mpa,0.132 Mpa,0.132 Mpa,0.137 Mpa,0.124 Mpa,0.123 Mpa,0.124 Mpa,0.122 Mpa,0.122 Mpa,0.126 Mpa,0.127 Mpa,0.133 Mpa,0.125 Mpa,0.124 Mpa,0.122 Mpa,0.123 Mpa,0.125 Mpa,0.128 Mpa,0.128 Mpa,0.132 Mpa,0.127 Mpa,0.128 Mpa,0.126 Mpa,0.123 Mpa,0.130 Mpa,0.125 Mpa,0.131 Mpa,0.138 Mpa,,,,,,,,,1385 RPM,1852 RPM,1556 RPM,1582 RPM,1801 RPM,1858 RPM,1843 RPM,1608 RPM,1662 RPM,1750 RPM,
2026-06-12 23:00:00,0.121 Mpa,0.123 Mpa,0.123 Mpa,0.122 Mpa,0.124 Mpa,0.125 Mpa,0.127 Mpa,0.130 Mpa,0.117 Mpa,0.116 Mpa,0.119 Mpa,0.112 Mpa,0.117 Mpa,0.122 Mpa,0.122 Mpa,0.128 Mpa,0.121 Mpa,0.122 Mpa,0.119 Mpa,0.118 Mpa,0.121 Mpa,0.122 Mpa,0.123 Mpa,0.130 Mpa,0.129 Mpa,0.127 Mpa,0.132 Mpa,0.127 Mpa,0.128 Mpa,0.134 Mpa,0.135 Mpa,0.136 Mpa,0.128 Mpa,0.130 Mpa,0.130 Mpa,0.128 Mpa,0.128 Mpa,0.129 Mpa,0.131 Mpa,0.137 Mpa,0.117 Mpa,1.01 Mpa,0.119 Mpa,0.116 Mpa,0.118 Mpa,0.121 Mpa,0.119 Mpa,0.124 Mpa,0.124 Mpa,0.124 Mpa,0.122 Mpa,0.125 Mpa,0.126 Mpa,0.128 Mpa,0.129 Mpa,0.134 Mpa,0.126 Mpa,0.125 Mpa,0.127 Mpa,0.126 Mpa,0.125 Mpa,0.130 Mpa,0.130 Mpa,0.137 Mpa,0.128 Mpa,0.127 Mpa,0.125 Mpa,0.126 Mpa,0.128 Mpa,0.132 Mpa,0.131 Mpa,0.136 Mpa,0.129 Mpa,0.129 Mpa,0.128 Mpa,0.125 Mpa,0.131 Mpa,0.127 Mpa,0.133 Mpa,0.139 Mpa,,,,,,,,,1771 RPM,1762 RPM,1541 RPM,1796 RPM,1650 RPM,1677 RPM,1824 RPM,1850 RPM,1703 RPM,1713 RPM,
2026-06-13 01:00:00,0.112 Mpa,0.114 Mpa,0.111 Mpa,0.111 Mpa,0.113 Mpa,0.112 Mpa,0.116 Mpa,0.118 Mpa,0.116 Mpa,0.116 Mpa,0.118 Mpa,0.112 Mpa,0.116 Mpa,0.121 Mpa,0.121 Mpa,0.127 Mpa,0.120 Mpa,0.121 Mpa,0.118 Mpa,0.117 Mpa,0.121 Mpa,0.121 Mpa,0.122 Mpa,0.129 Mpa,0.126 Mpa,0.125 Mpa,0.129 Mpa,0.125 Mpa,0.126 Mpa,0.131 Mpa,0.133 Mpa,0.134 Mpa,0.121 Mpa,0.121 Mpa,0.121 Mpa,0.119 Mpa,0.121 Mpa,0.121 Mpa,0.123 Mpa,0.129 Mpa,0.123 Mpa,1.02 Mpa,0.126 Mpa,0.123 Mpa,0.124 Mpa,0.128 Mpa,0.125 Mpa,0.132 Mpa,0.121 Mpa,0.121 Mpa,0.118 Mpa,0.120 Mpa,0.123 Mpa,0.125 Mpa,0.126 Mpa,0.130 Mpa,0.127 Mpa,0.126 Mpa,0.129 Mpa,0.128 Mpa,0.126 Mpa,0.131 Mpa,0.131 Mpa,0.138 Mpa,0.134 Mpa,0.134 Mpa,0.132 Mpa,0.133 Mpa,0.135 Mpa,0.139 Mpa,0.138 Mpa,0.143 Mpa,0.125 Mpa,0.125 Mpa,0.123 Mpa,0.120 Mpa,0.127 Mpa,0.122 Mpa,0.128 Mpa,0.134 Mpa,,,,,,,,,1288 RPM,1773 RPM,1573 RPM,1722 RPM,1692 RPM,1757 RPM,1758 RPM,1864 RPM,1801 RPM,1676 RPM,
2026-06-13 03:00:00,0.110 Mpa,0.112 Mpa,0.111 Mpa,0.110 Mpa,0.111 Mpa,0.110 Mpa,0.114 Mpa,0.116 Mpa,0.116 Mpa,0.116 Mpa,0.117 Mpa,0.111 Mpa,0.115 Mpa,0.119 Mpa,0.120 Mpa,0.125 Mpa,0.127 Mpa,0.127 Mpa,0.125 Mpa,0.124 Mpa,0.127 Mpa,0.128 Mpa,0.129 Mpa,0.136 Mpa,0.121 Mpa,0.119 Mpa,0.121 Mpa,0.116 Mpa,0.119 Mpa,0.123 Mpa,0.126 Mpa,0.126 Mpa,0.126 Mpa,0.127 Mpa,0.128 Mpa,0.125 Mpa,0.126 Mpa,0.127 Mpa,0.129 Mpa,0.135 Mpa,0.122 Mpa,1.02 Mpa,0.124 Mpa,0.120 Mpa,0.122 Mpa,0.125 Mpa,0.123 Mpa,0.129 Mpa,0.117 Mpa,0.118 Mpa,0.113 Mpa,0.115 Mpa,0.117 Mpa,0.118 Mpa,0.120 Mpa,0.123 Mpa,0.126 Mpa,0.125 Mpa,0.127 Mpa,0.126 Mpa,0.124 Mpa,0.129 Mpa,0.129 Mpa,0.137 Mpa,0.132 Mpa,0.132 Mpa,0.130 Mpa,0.131 Mpa,0.133 Mpa,0.137 Mpa,0.136 Mpa,0.140 Mpa,0.127 Mpa,0.127 Mpa,0.124 Mpa,0.121 Mpa,0.128 Mpa,0.122 Mpa,0.129 Mpa,0.134 Mpa,,,,,,,,,1264 RPM,1405 RPM,1736 RPM,1385 RPM,1766 RPM,1768 RPM,1330 RPM,1815 RPM,1729 RPM,1464 RPM,
2026-06-13 05:00:00,0.121 Mpa,0.122 Mpa,0.122 Mpa,0.121 Mpa,0.123 Mpa,0.124 Mpa,0.127 Mpa,0.129 Mpa,0.121 Mpa,0.121 Mpa,0.123 Mpa,0.117 Mpa,0.120 Mpa,0.126 Mpa,0.126 Mpa,0.132 Mpa,0.119 Mpa,0.119 Mpa,0.116 Mpa,0.115 Mpa,0.118 Mpa,0.119 Mpa,0.119 Mpa,0.126 Mpa,0.128 Mpa,0.126 Mpa,0.131 Mpa,0.126 Mpa,0.127 Mpa,0.133 Mpa,0.135 Mpa,0.136 Mpa,0.129 Mpa,0.130 Mpa,0.130 Mpa,0.128 Mpa,0.128 Mpa,0.130 Mpa,0.132 Mpa,0.136 Mpa,0.114 Mpa,1.02 Mpa,0.113 Mpa,0.111 Mpa,0.113 Mpa,0.114 Mpa,0.114 Mpa,0.118 Mpa,0.118 Mpa,0.119 Mpa,0.114 Mpa,0.117 Mpa,0.118 Mpa,0.120 Mpa,0.122 Mpa,0.125 Mpa,0.122 Mpa,0.120 Mpa,0.122 Mpa,0.120 Mpa,0.120 Mpa,0.124 Mpa,0.124 Mpa,0.130 Mpa,0.130 Mpa,0.129 Mpa,0.128 Mpa,0.129 Mpa,0.130 Mpa,0.133 Mpa,0.133 Mpa,0.138 Mpa,0.127 Mpa,0.127 Mpa,0.126 Mpa,0.123 Mpa,0.129 Mpa,0.125 Mpa,0.130 Mpa,0.137 Mpa,,,,,,,,,1593 RPM,1725 RPM,1430 RPM,1731 RPM,1724 RPM,1443 RPM,1407 RPM,1639 RPM,1622 RPM,1698 RPM,
2026-06-13 07:00:00,0.129 Mpa,0.131 Mpa,0.131 Mpa,0.130 Mpa,0.132 Mpa,0.134 Mpa,0.135 Mpa,0.139 Mpa,0.114 Mpa,0.114 Mpa,0.115 Mpa,0.109 Mpa,0.113 Mpa,0.117 Mpa,0.118 Mpa,0.123 Mpa,0.110 Mpa,0.110 Mpa,0.106 Mpa,0.106 Mpa,0.107 Mpa,0.107 Mpa,0.110 Mpa,0.114 Mpa,0.130 Mpa,0.129 Mpa,0.135 Mpa,0.130 Mpa,0.130 Mpa,0.138 Mpa,0.138 Mpa,0.140 Mpa,0.129 Mpa,0.130 Mpa,0.130 Mpa,0.128 Mpa,0.128 Mpa,0.130 Mpa,0.131 Mpa,0.136 Mpa,0.122 Mpa,1.02 Mpa,0.124 Mpa,0.121 Mpa,0.122 Mpa,0.125 Mpa,0.123 Mpa,0.129 Mpa,0.111 Mpa,0.112 Mpa,0.105 Mpa,0.107 Mpa,0.109 Mpa,0.110 Mpa,0.113 Mpa,0.114 Mpa,0.125 Mpa,0.125 Mpa,0.127 Mpa,0.126 Mpa,0.124 Mpa,0.129 Mpa,0.129 Mpa,0.137 Mpa,0.130 Mpa,0.130 Mpa,0.128 Mpa,0.129 Mpa,0.131 Mpa,0.134 Mpa,0.134 Mpa,0.138 Mpa,0.124 Mpa,0.124 Mpa,0.123 Mpa,0.120 Mpa,0.128 Mpa,0.124 Mpa,0.130 Mpa,0.136 Mpa,,,,,,,,,1793 RPM,1415 RPM,1067 RPM,1863 RPM,1737 RPM,1700 RPM,636 RPM,1738 RPM,1696 RPM,1844 RPM,
